Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Min Temp (deg C)	2005	7	4	1	0.61	12.0	12.0			
Min Temp (deg C)	2005	7	5	1	0.61	18.5	18.5			
Min Temp (deg C)	2005	7	6	1	0.61	13.1	13.1			
Min Temp (deg C)	2005	7	7	1	0.61	11.1	11.1			
Min Temp (deg C)	2005	7	8	1	0.61	12.2	12.2			
Min Temp (deg C)	2005	7	9	1	0.61	15.2	15.2			
Min Temp (deg C)	2005	7	10	1	0.61	14.4	14.4			
Min Temp (deg C)	2005	7	11	1	0.61	16.9	16.9			
Min Temp (deg C)	2005	7	12	1	0.61	15.9	15.9			
Min Temp (deg C)	2005	7	13	1	0.61	16.1	16.1			
Min Temp (deg C)	2005	7	14	1	0.61	16.5	16.5			
Min Temp (deg C)	2005	7	15	1	0.61	14.3	14.3			
Min Temp (deg C)	2005	7	16	1	0.61	15.2	15.2			
Min Temp (deg C)	2005	7	17	1	0.61	15.1	15.1			
Min Temp (deg C)	2005	7	18	1	0.61	22.5	22.5			
Min Temp (deg C)	2005	7	19	1	0.61	20.5	20.5			
Min Temp (deg C)	2005	7	20	1	0.61	16.2	16.2			
Min Temp (deg C)	2005	7	21	1	0.61	14.0	14.0			
Min Temp (deg C)	2005	7	22	1	0.61	16.3	16.3			
Min Temp (deg C)	2005	7	23	1	0.61	12.5	12.5			
Min Temp (deg C)	2005	7	24	1	0.61	9.7	9.7			
Min Temp (deg C)	2005	7	25	1	0.61	12.9	12.9			
Min Temp (deg C)	2005	7	26	1	0.61	14.1	14.1			
Min Temp (deg C)	2005	7	27	1	0.61	12.1	12.1			
Min Temp (deg C)	2005	7	28	1	0.61	10.2	10.2			
Min Temp (deg C)	2005	7	29	1	0.61	9.2	9.2			
Min Temp (deg C)	2005	7	30	1	0.61	10.0	10.0			
Min Temp (deg C)	2005	7	31	1	0.61	8.2	8.2			
Min Temp (deg C)	2005	8	1	1	0.61	14.7	14.7			
Min Temp (deg C)	2005	8	2	1	0.61	13.6	13.6			
Min Temp (deg C)	2005	8	3	1	0.61	12.9	12.9			
Min Temp (deg C)	2005	8	4	1	0.61	11.5	11.5			
Min Temp (deg C)	2005	8	5	1	0.61	15.4	15.4			
Min Temp (deg C)	2005	8	6	1	0.61	10.8	10.8			
Min Temp (deg C)	2005	8	7	1	0.61	11.3	11.3			
Min Temp (deg C)	2005	8	8	1	0.61	14.5	14.5			
Min Temp (deg C)	2005	8	9	1	0.61	16.1	16.1			
Min Temp (deg C)	2005	8	10	1	0.61	19.1	19.1			
Min Temp (deg C)	2005	8	11	1	0.61	14.1	14.1			
Min Temp (deg C)	2005	8	12	1	0.61	11.3	11.3			
Min Temp (deg C)	2005	8	13	1	0.61	16.7	16.7			
Min Temp (deg C)	2005	8	14	1	0.61	16.2	16.2			
Min Temp (deg C)	2005	8	15	1	0.61	14.0	14.0			
Min Temp (deg C)	2005	8	16	1	0.61	14.3	14.3			
Min Temp (deg C)	2005	8	17	1	0.61	8.2	8.2			
Min Temp (deg C)	2005	8	18	1	0.61	6.2	6.2			
Min Temp (deg C)	2005	8	19	1	0.61	8.0	8.0			
Min Temp (deg C)	2005	8	20	1	0.61	15.1	15.1			
Min Temp (deg C)	2005	8	21	1	0.61	13.1	13.1			
Min Temp (deg C)	2005	8	22	1	0.61	11.1	11.1			
Min Temp (deg C)	2005	8	23	1	0.61	11.3	11.3			
Min Temp (deg C)	2005	8	24	1	0.61	11.2	11.2			
Min Temp (deg C)	2005	8	25	1	0.61	10.0	10.0			
Min Temp (deg C)	2005	8	26	1	0.61	8.8	8.8			
Min Temp (deg C)	2005	8	27	1	0.61	11.2	11.2			
Min Temp (deg C)	2005	8	28	1	0.61	16.6	16.6			
Min Temp (deg C)	2005	8	29	1	0.61	18.1	18.1			
Min Temp (deg C)	2005	8	30	1	0.61	15.4	15.4			
Min Temp (deg C)	2005	8	31	1	0.61	14.7	14.7			
Min Temp (deg C)	2005	9	1	1	0.61	16.1	16.1			
Min Temp (deg C)	2005	9	2	1	0.61	13.2	13.2			
Min Temp (deg C)	2005	9	3	1	0.61	11.2	11.2			
Min Temp (deg C)	2005	9	4	1	0.61	10.3	10.3			
Min Temp (deg C)	2005	9	5	1	0.61	8.2	8.2			
Min Temp (deg C)	2005	9	6	1	0.61	9.2	9.2			
Min Temp (deg C)	2005	9	7	1	0.61	11.9	11.9			
Min Temp (deg C)	2005	9	8	1	0.61	8.4	8.4			
Min Temp (deg C)	2005	9	9	1	0.61	5.9	5.9			
Min Temp (deg C)	2005	9	10	1	0.61	5.4	5.4			
Min Temp (deg C)	2005	9	11	1	0.61	4.7	4.7			
Min Temp (deg C)	2005	9	12	1	0.61	13.9	13.9			
Min Temp (deg C)	2005	9	13	1	0.61	13.3	13.3			
Min Temp (deg C)	2005	9	14	1	0.61	14.1	14.1			
Min Temp (deg C)	2005	9	15	1	0.61	14.0	14.0			
Min Temp (deg C)	2005	9	16	1	0.61	11.4	11.4			
Min Temp (deg C)	2005	9	17	1	0.61	13.3	13.3			
Min Temp (deg C)	2005	9	18	1	0.61	11.9	11.9			
Min Temp (deg C)	2005	9	19	1	0.61	10.7	10.7			
Min Temp (deg C)	2005	9	20	1	0.61	10.8	10.8			
Min Temp (deg C)	2005	9	21	1	0.61	9.4	9.4			
Min Temp (deg C)	2005	9	22	1	0.61	9.4	9.4			
Min Temp (deg C)	2005	9	23	1	0.61	4.4	4.4			
Min Temp (deg C)	2005	9	24	1	0.61	2.8	2.8			
Min Temp (deg C)	2005	9	25	1	0.61	5.1	5.1			
Min Temp (deg C)	2005	9	26	1	0.61	10.0	10.0			
Min Temp (deg C)	2005	9	27	1	0.61	5.7	5.7			
Min Temp (deg C)	2005	9	28	1	0.61	3.8	3.8			
Min Temp (deg C)	2005	9	29	1	0.61	5.2	5.2			
Min Temp (deg C)	2005	9	30	1	0.61	2.9	2.9			
Min Temp (deg C)	2005	10	1	1	0.61	2.9	2.9			
Min Temp (deg C)	2005	10	2	1	0.61	7.6	7.6			
Min Temp (deg C)	2005	10	3	1	0.61	8.9	8.9			
Min Temp (deg C)	2005	10	4	1	0.61	12.0	12.0			
Min Temp (deg C)	2005	10	5	1	0.61	8.7	8.7			
Min Temp (deg C)	2005	10	6	1	0.61	7.7	7.7			
Min Temp (deg C)	2005	10	7	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	10	8	1	0.61	6.4	6.4			
Min Temp (deg C)	2005	10	9	1	0.61	6.7	6.7			
Min Temp (deg C)	2005	10	10	1	0.61	7.1	7.1			
Min Temp (deg C)	2005	10	11	1	0.61	6.8	6.8			
Min Temp (deg C)	2005	10	12	1	0.61	7.3	7.3			
Min Temp (deg C)	2005	10	13	1	0.61	7.2	7.2			
Min Temp (deg C)	2005	10	14	1	0.61	8.8	8.8			
Min Temp (deg C)	2005	10	15	1	0.61	10.3	10.3			
Min Temp (deg C)	2005	10	16	1	0.61	7.6	7.6			
Min Temp (deg C)	2005	10	17	1	0.61	6.4	6.4			
Min Temp (deg C)	2005	10	18	1	0.61	3.6	3.6			
Min Temp (deg C)	2005	10	19	1	0.61	3.2	3.2			
Min Temp (deg C)	2005	10	20	1	0.61	0.6	0.6			
Min Temp (deg C)	2005	10	21	1	0.61	-0.4	-0.4			
Min Temp (deg C)	2005	10	22	1	0.61	-2.3	-2.3			
Min Temp (deg C)	2005	10	23	1	0.61	4.8	4.8			
Min Temp (deg C)	2005	10	24	1	0.61	4.6	4.6			
Min Temp (deg C)	2005	10	25	1	0.61	0.7	0.7			
Min Temp (deg C)	2005	10	26	1	0.61	1.6	1.6			
Min Temp (deg C)	2005	10	27	1	0.61	1.7	1.7			
Min Temp (deg C)	2005	10	28	1	0.61	-2.9	-2.9			
Min Temp (deg C)	2005	10	29	1	0.61	-4.0	-4.0			
Min Temp (deg C)	2005	10	30	1	0.61	-0.2	-0.2			
Min Temp (deg C)	2005	10	31	1	0.61	8.3	8.3			
Min Temp (deg C)	2005	11	1	1	0.61	7.5	7.5			
Min Temp (deg C)	2005	11	2	1	0.61	0.2	0.2			
Min Temp (deg C)	2005	11	3	1	0.61	-1.0	-1.0			
Min Temp (deg C)	2005	11	4	1	0.61	-1.9	-1.9			
Min Temp (deg C)	2005	11	5	1	0.61	0.5	0.5			
Min Temp (deg C)	2005	11	6	1	0.61	1.7	1.7			
Min Temp (deg C)	2005	11	7	1	0.61	-0.8	-0.8			
Min Temp (deg C)	2005	11	8	1	0.61	-4.1	-4.1			
Min Temp (deg C)	2005	11	9	1	0.61	-5.6	-5.6			
Min Temp (deg C)	2005	11	10	1	0.61	-1.1	-1.1			
Min Temp (deg C)	2005	11	11	1	0.61	-1.7	-1.7			
Min Temp (deg C)	2005	11	12	1	0.61	-3.0	-3.0			
Min Temp (deg C)	2005	11	13	1	0.61	-2.1	-2.1			
Min Temp (deg C)	2005	11	14	1	0.61	-3.8	-3.8			
Min Temp (deg C)	2005	11	15	1	0.61	-4.1	-4.1			
Min Temp (deg C)	2005	11	16	1	0.61	-0.1	-0.1			
Min Temp (deg C)	2005	11	17	1	0.61	-3.6	-3.6			
Min Temp (deg C)	2005	11	18	1	0.61	-9.8	-9.8			
Min Temp (deg C)	2005	11	19	1	0.61	-11.3	-11.3			
Min Temp (deg C)	2005	11	20	1	0.61	0.2	0.2			
Min Temp (deg C)	2005	11	21	1	0.61	0.9	0.9			
Min Temp (deg C)	2005	11	22	1	0.61	-2.7	-2.7			
Min Temp (deg C)	2005	11	23	1	0.61	-7.2	-7.2			
Min Temp (deg C)	2005	11	24	1	0.61	-9.4	-9.4			
Min Temp (deg C)	2005	11	25	1	0.61	-12.5	-12.5			
Min Temp (deg C)	2005	11	26	1	0.61	-16.8	-16.8			
Min Temp (deg C)	2005	11	27	1	0.61	-8.1	-8.1			
Min Temp (deg C)	2005	11	28	1	0.61	-3.3	-3.3			
Min Temp (deg C)	2005	11	29	1	0.61	0.8	0.8			
Min Temp (deg C)	2005	11	30	1	0.61	2.5	2.5			
Min Temp (deg C)	2005	12	1	1	0.61	-0.1	-0.1			
Min Temp (deg C)	2005	12	2	1	0.61	-4.4	-4.4			
Min Temp (deg C)	2005	12	3	1	0.61	-7.3	-7.3			
Min Temp (deg C)	2005	12	4	1	0.61	-10.7	-10.7			
Min Temp (deg C)	2005	12	5	1	0.61	-9.7	-9.7			
Min Temp (deg C)	2005	12	6	1	0.61	-10.6	-10.6			
Min Temp (deg C)	2005	12	7	1	0.61	-13.1	-13.1			
Min Temp (deg C)	2005	12	8	1	0.61	-15.1	-15.1			
Min Temp (deg C)	2005	12	9	1	0.61	-14.9	-14.9			
Min Temp (deg C)	2005	12	10	1	0.61	-8.0	-8.0			
Min Temp (deg C)	2005	12	11	1	0.61	-4.5	-4.5			
Min Temp (deg C)	2005	12	12	1	0.61	-14.5	-14.5			
Min Temp (deg C)	2005	12	13	1	0.61	-20.0	-20.0			
Min Temp (deg C)	2005	12	14	1	0.61	-21.6	-21.6			
Min Temp (deg C)	2005	12	15	1	0.61	-23.0	-23.0			
Min Temp (deg C)	2005	12	16	1	0.61	-13.2	-13.2			
Min Temp (deg C)	2005	12	17	1	0.61	-6.1	-6.1			
Min Temp (deg C)	2005	12	18	1	0.61	-6.5	-6.5			
Min Temp (deg C)	2005	12	19	1	0.61	-7.8	-7.8			
Min Temp (deg C)	2005	12	20	1	0.61	-20.3	-20.3			
Min Temp (deg C)	2005	12	21	1	0.61	-21.5	-21.5			
Min Temp (deg C)	2005	12	22	1	0.61	-19.7	-19.7			
Min Temp (deg C)	2005	12	23	1	0.61	-7.9	-7.9			
Min Temp (deg C)	2005	12	24	1	0.61	-4.9	-4.9			
Min Temp (deg C)	2005	12	25	1	0.61	-4.3	-4.3			
Min Temp (deg C)	2005	12	26	1	0.61	-5.7	-5.7			
Min Temp (deg C)	2005	12	27	1	0.61	-14.0	-14.0			
Min Temp (deg C)	2005	12	28	1	0.61	-11.5	-11.5			
Min Temp (deg C)	2005	12	29	1	0.61	-3.2	-3.2			
Min Temp (deg C)	2005	12	30	1	0.61	-19.2	-19.2			
Min Temp (deg C)	2005	12	31	1	0.61	-24.9	-24.9			
Mean Temp (deg C)	1996	1	1	1	0.45	-16.9	-16.9			
Mean Temp (deg C)	1996	1	2	1	0.45	-20.2	-20.2			
Mean Temp (deg C)	1996	1	3	1	0.45	-22.0	-22.0			
Mean Temp (deg C)	1996	1	4	1	0.45	-23.6	-23.6			
Mean Temp (deg C)	1996	1	5	1	0.45	-23.6	-23.6			
Mean Temp (deg C)	1996	1	6	1	0.45	-19.7	-19.7			
Mean Temp (deg C)	1996	1	7	1	0.45	-20.8	-20.8			
Mean Temp (deg C)	1996	1	8	1	0.45	-18.4	-18.4			
Mean Temp (deg C)	1996	1	9	1	0.45	-14.9	-14.9			
Mean Temp (deg C)	1996	1	10	1	0.45	-10.6	-10.6			
Mean Temp (deg C)	1996	1	11	1	0.45	-15.5	-15.5			
Mean Temp (deg C)	1996	1	12	1	0.45	-11.7	-11.7			
Mean Temp (deg C)	1996	1	13	1	1.49	-9.1		-8.8		
Mean Temp (deg C)	1996	1	14	1	0.45	-12.4	-12.4			
Mean Temp (deg C)	1996	1	15	1	0.45	-20.2	-20.2			
Mean Temp (deg C)	1996	1	16	1	0.45	-16.6	-16.6			
Mean Temp (deg C)	1996	1	17	1	0.45	-2.5	-2.5			
Mean Temp (deg C)	1996	1	18	1	0.45	1.1	1.1			
Mean Temp (deg C)	1996	1	19	1	0.45	7.2	7.2			
Mean Temp (deg C)	1996	1	20	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	1996	1	21	1	0.45	-14.2	-14.2			
Mean Temp (deg C)	1996	1	22	1	0.45	-5.5	-5.5			
Mean Temp (deg C)	1996	1	23	1	0.45	-2.7	-2.7			
Mean Temp (deg C)	1996	1	24	1	0.45	-0.2	-0.2			
Mean Temp (deg C)	1996	1	25	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	1996	1	26	1	0.45	-14.3	-14.3			
Mean Temp (deg C)	1996	1	27	1	0.45	-1.4	-1.4			
Mean Temp (deg C)	1996	1	28	1	0.45	-11.4	-11.4			
Mean Temp (deg C)	1996	1	29	1	0.45	-15.8	-15.8			
Mean Temp (deg C)	1996	1	30	1	0.45	-9.8	-9.8			
Mean Temp (deg C)	1996	1	31	1	0.45	-18.6	-18.6			
Mean Temp (deg C)	1996	2	1	1	0.45	-22.6	-22.6			
Mean Temp (deg C)	1996	2	2	1	0.45	-15.9	-15.9			
Mean Temp (deg C)	1996	2	3	1	0.45	-21.9	-21.9			
Mean Temp (deg C)	1996	2	4	1	0.45	-23.3	-23.3			
Mean Temp (deg C)	1996	2	5	1	0.45	-19.8	-19.8			
Mean Temp (deg C)	1996	2	6	1	0.45	-16.2	-16.2			
Mean Temp (deg C)	1996	2	7	1	0.45	-13.2	-13.2			
Mean Temp (deg C)	1996	2	8	1	0.45	-2.1	-2.1			
Mean Temp (deg C)	1996	2	9	1	0.45	-1.4	-1.4			
Mean Temp (deg C)	1996	2	10	1	0.45	-8.1	-8.1			
Mean Temp (deg C)	1996	2	11	1	0.45	-9.6	-9.6			
Mean Temp (deg C)	1996	2	12	1	0.45	-15.6	-15.6			
Mean Temp (deg C)	1996	2	13	1	0.45	-21.8	-21.8			
Mean Temp (deg C)	1996	2	14	1	0.45	-16.9	-16.9			
Mean Temp (deg C)	1996	2	15	1	0.45	-12.0	-12.0			
Mean Temp (deg C)	1996	2	16	1	0.45	-13.5	-13.5			
Mean Temp (deg C)	1996	2	17	1	0.45	-7.1	-7.1			
Mean Temp (deg C)	1996	2	18	1	0.45	-16.4	-16.4			
Mean Temp (deg C)	1996	2	19	1	0.45	-15.0	-15.0			
Mean Temp (deg C)	1996	2	20	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	1996	2	21	1	0.45	3.6	3.6			
Mean Temp (deg C)	1996	2	22	1	0.45	3.2	3.2			
Mean Temp (deg C)	1996	2	23	1	0.45	2.0	2.0			
Mean Temp (deg C)	1996	2	24	1	0.45	2.1	2.1			
Mean Temp (deg C)	1996	2	25	1	0.45	2.2	2.2			
Mean Temp (deg C)	1996	2	26	1	0.45	-2.2	-2.2			
Mean Temp (deg C)	1996	2	27	1	0.45	-4.9	-4.9			
Mean Temp (deg C)	1996	2	28	1	0.45	-6.0	-6.0			
Mean Temp (deg C)	1996	2	29	1	0.45	-12.0	-12.0			
Mean Temp (deg C)	1996	3	1	1	0.45	-9.9	-9.9			
Mean Temp (deg C)	1996	3	2	1	0.45	-4.0	-4.0			
Mean Temp (deg C)	1996	3	3	1	0.45	-5.9	-5.9			
Mean Temp (deg C)	1996	3	4	1	0.45	-12.4	-12.4			
Mean Temp (deg C)	1996	3	5	1	0.45	-11.3	-11.3			
Mean Temp (deg C)	1996	3	6	1	0.45	-9.8	-9.8			
Mean Temp (deg C)	1996	3	7	1	0.45	-11.0	-11.0			
Mean Temp (deg C)	1996	3	8	1	0.45	-8.8	-8.8			
Mean Temp (deg C)	1996	3	9	1	0.45	-11.9	-11.9			
Mean Temp (deg C)	1996	3	10	1	0.45	-9.2	-9.2			
Mean Temp (deg C)	1996	3	11	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	1996	3	12	1	0.45	-1.3	-1.3			
Mean Temp (deg C)	1996	3	13	1	0.45	3.4	3.4			
Mean Temp (deg C)	1996	3	14	1	0.45	4.3	4.3			
Mean Temp (deg C)	1996	3	15	1	0.45	0.2	0.2			
Mean Temp (deg C)	1996	3	16	1	0.45	-3.3	-3.3			
Mean Temp (deg C)	1996	3	17	1	0.45	-3.0	-3.0			
Mean Temp (deg C)	1996	3	18	1	0.45	-1.3	-1.3			
Mean Temp (deg C)	1996	3	19	1	0.45	1.3	1.3			
Mean Temp (deg C)	1996	3	20	1	0.45	0.4	0.4			
Mean Temp (deg C)	1996	3	21	1	0.45	1.3	1.3			
Mean Temp (deg C)	1996	3	22	1	0.45	0.4	0.4			
Mean Temp (deg C)	1996	3	23	1	0.45	-1.9	-1.9			
Mean Temp (deg C)	1996	3	24	1	0.45	-2.2	-2.2			
Mean Temp (deg C)	1996	3	25	1	0.45	2.4	2.4			
Mean Temp (deg C)	1996	3	26	1	0.45	0.7	0.7			
Mean Temp (deg C)	1996	3	27	1	0.45	-8.3	-8.3			
Mean Temp (deg C)	1996	3	28	1	0.45	-6.1	-6.1			
Mean Temp (deg C)	1996	3	29	1	0.45	-3.2	-3.2			
Mean Temp (deg C)	1996	3	30	1	0.45	-2.0	-2.0			
Mean Temp (deg C)	1996	3	31	1	0.45	-0.7	-0.7			
Mean Temp (deg C)	1996	4	1	1	0.45	3.0	3.0			
Mean Temp (deg C)	1996	4	2	1	0.45	0.8	0.8			
Mean Temp (deg C)	1996	4	3	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	1996	4	4	1	0.45	-1.8	-1.8			
Mean Temp (deg C)	1996	4	5	1	0.45	-0.4	-0.4			
Mean Temp (deg C)	1996	4	6	1	1.49	0.7		1.0		
Mean Temp (deg C)	1996	4	7	1	1.49	1.2		1.5		
Mean Temp (deg C)	1996	4	8	1	0.45	3.2	3.2			
Mean Temp (deg C)	1996	4	9	1	0.45	2.4	2.4			
Mean Temp (deg C)	1996	4	10	1	0.45	1.4	1.4			
Mean Temp (deg C)	1996	4	11	1	0.45	7.5	7.5			
Mean Temp (deg C)	1996	4	12	1	0.45	4.0	4.0			
Mean Temp (deg C)	1996	4	13	1	0.45	2.0	2.0			
Mean Temp (deg C)	1996	4	14	1	0.45	1.3	1.3			
Mean Temp (deg C)	1996	4	15	1	0.45	3.2	3.2			
Mean Temp (deg C)	1996	4	16	1	0.45	3.5	3.5			
Mean Temp (deg C)	1996	4	17	1	0.45	3.3	3.3			
Mean Temp (deg C)	1996	4	18	1	0.45	6.2	6.2			
Mean Temp (deg C)	1996	4	19	1	0.45	5.7	5.7			
Mean Temp (deg C)	1996	4	20	1	0.45	6.4	6.4			
Mean Temp (deg C)	1996	4	21	1	0.45	9.8	9.8			
Mean Temp (deg C)	1996	4	22	1	0.45	10.3	10.3			
Mean Temp (deg C)	1996	4	23	1	0.45	9.5	9.5			
Mean Temp (deg C)	1996	4	24	1	0.45	3.1	3.1			
Mean Temp (deg C)	1996	4	25	1	0.45	4.1	4.1			
Mean Temp (deg C)	1996	4	26	1	0.45	9.6	9.6			
Mean Temp (deg C)	1996	4	27	1	0.45	3.7	3.7			
Mean Temp (deg C)	1996	4	28	1	0.45	3.5	3.5			
Mean Temp (deg C)	1996	4	29	1	0.45	7.5	7.5			
Mean Temp (deg C)	1996	4	30	1	0.45	7.2	7.2			
Mean Temp (deg C)	1996	5	1	1	0.45	10.2	10.2			
Mean Temp (deg C)	1996	5	2	1	0.45	7.6	7.6			
Mean Temp (deg C)	1996	5	3	1	0.45	9.6	9.6			
Mean Temp (deg C)	1996	5	4	1	0.45	9.8	9.8			
Mean Temp (deg C)	1996	5	5	1	0.45	4.9	4.9			
Mean Temp (deg C)	1996	5	6	1	0.45	6.6	6.6			
Mean Temp (deg C)	1996	5	7	1	0.45	9.6	9.6			
Mean Temp (deg C)	1996	5	8	1	0.45	13.6	13.6			
Mean Temp (deg C)	1996	5	9	1	0.45	12.2	12.2			
Mean Temp (deg C)	1996	5	10	1	0.45	12.8	12.8			
Mean Temp (deg C)	1996	5	11	1	0.45	8.0	8.0			
Mean Temp (deg C)	1996	5	12	1	0.45	3.5	3.5			
Mean Temp (deg C)	1996	5	13	1	0.45	6.0	6.0			
Mean Temp (deg C)	1996	5	14	1	0.45	7.7	7.7			
Mean Temp (deg C)	1996	5	15	1	0.45	10.5	10.5			
Mean Temp (deg C)	1996	5	16	1	0.45	12.1	12.1			
Mean Temp (deg C)	1996	5	17	1	0.45	14.0	14.0			
Mean Temp (deg C)	1996	5	18	1	0.45	13.8	13.8			
Mean Temp (deg C)	1996	5	19	1	0.45	13.2	13.2			
Mean Temp (deg C)	1996	5	20	1	0.45	14.6	14.6			
Mean Temp (deg C)	1996	5	21	1	0.45	13.5	13.5			
Mean Temp (deg C)	1996	5	22	1	0.45	13.3	13.3			
Mean Temp (deg C)	1996	5	23	1	0.45	13.4	13.4			
Mean Temp (deg C)	1996	5	24	1	0.45	7.6	7.6			
Mean Temp (deg C)	1996	5	25	1	0.45	6.5	6.5			
Mean Temp (deg C)	1996	5	26	1	0.45	8.4	8.4			
Mean Temp (deg C)	1996	5	27	1	0.45	11.3	11.3			
Mean Temp (deg C)	1996	5	28	1	0.45	13.6	13.6			
Mean Temp (deg C)	1996	5	29	1	0.45	8.7	8.7			
Mean Temp (deg C)	1996	5	30	1	0.45	12.7	12.7			
Mean Temp (deg C)	1996	5	31	1	0.45	15.6	15.6			
Mean Temp (deg C)	1996	6	1	1	0.45	17.6	17.6			
Mean Temp (deg C)	1996	6	2	1	0.45	18.6	18.6			
Mean Temp (deg C)	1996	6	3	1	0.45	20.8	20.8			
Mean Temp (deg C)	1996	6	4	1	0.45	17.3	17.3			
Mean Temp (deg C)	1996	6	5	1	0.45	18.4	18.4			
Mean Temp (deg C)	1996	6	6	1	0.45	18.3	18.3			
Mean Temp (deg C)	1996	6	7	1	0.45	14.8	14.8			
Mean Temp (deg C)	1996	6	8	1	0.45	15.7	15.7			
Mean Temp (deg C)	1996	6	9	1	0.45	17.8	17.8			
Mean Temp (deg C)	1996	6	10	1	0.45	21.5	21.5			
Mean Temp (deg C)	1996	6	11	1	0.45	25.1	25.1			
Mean Temp (deg C)	1996	6	12	1	0.45	24.9	24.9			
Mean Temp (deg C)	1996	6	13	1	0.45	22.0	22.0			
Mean Temp (deg C)	1996	6	14	1	0.45	20.9	20.9			
Mean Temp (deg C)	1996	6	15	1	1.49	18.8		19.0		
Mean Temp (deg C)	1996	6	16	1	1.49	16.3		16.5		
Mean Temp (deg C)	1996	6	17	1	0.45	19.0	19.0			
Mean Temp (deg C)	1996	6	18	1	0.45	17.1	17.1			
Mean Temp (deg C)	1996	6	19	1	0.45	19.2	19.2			
Mean Temp (deg C)	1996	6	20	1	0.45	16.4	16.4			
Mean Temp (deg C)	1996	6	21	1	0.45	13.4	13.4			
Mean Temp (deg C)	1996	6	22	1	0.45	13.0	13.0			
Mean Temp (deg C)	1996	6	23	1	0.45	13.3	13.3			
Mean Temp (deg C)	1996	6	24	1	0.45	13.4	13.4			
Mean Temp (deg C)	1996	6	25	1	0.45	16.3	16.3			
Mean Temp (deg C)	1996	6	26	1	0.45	15.2	15.2			
Mean Temp (deg C)	1996	6	27	1	0.45	18.0	18.0			
Mean Temp (deg C)	1996	6	28	1	0.45	18.0	18.0			
Mean Temp (deg C)	1996	6	29	1	0.45	15.5	15.5			
Mean Temp (deg C)	1996	6	30	1	0.45	17.3	17.3			
Mean Temp (deg C)	1996	7	1	1	0.45	22.2	22.2			
Mean Temp (deg C)	1996	7	2	1	0.45	20.9	20.9			
Mean Temp (deg C)	1996	7	3	1	0.45	18.2	18.2			
Mean Temp (deg C)	1996	7	4	1	1.49	15.6		15.8		
Mean Temp (deg C)	1996	7	5	1	1.49	17.3		17.5		
Mean Temp (deg C)	1996	7	6	1	0.45	16.3	16.3			
Mean Temp (deg C)	1996	7	7	1	1.49	15.1		15.3		
Mean Temp (deg C)	1996	7	8	1	0.45	18.1	18.1			
Mean Temp (deg C)	1996	7	9	1	0.45	18.3	18.3			
Mean Temp (deg C)	1996	7	10	1	0.45	16.4	16.4			
Mean Temp (deg C)	1996	7	11	1	0.45	17.8	17.8			
Mean Temp (deg C)	1996	7	12	1	0.45	19.2	19.2			
Mean Temp (deg C)	1996	7	13	1	0.45	21.4	21.4			
Mean Temp (deg C)	1996	7	14	1	0.45	22.7	22.7			
Mean Temp (deg C)	1996	7	15	1	0.45	20.8	20.8			
Mean Temp (deg C)	1996	7	16	1	0.45	21.8	21.8			
Mean Temp (deg C)	1996	7	17	1	0.45	22.1	22.1			
Mean Temp (deg C)	1996	7	18	1	0.45	21.4	21.4			
